,coke,sprite,pepsi,other_soda,bud,coors,miller_lite,corona,blue_moon,other_beer,other_alcohol,aquafina,dasani,fiji,other_water,starbucks,coffee_bean,dunkin_donuts,freudian_sip,other_coffee,twitter,snapchat,youtube,facebook,instagram,pinterest,participant
56,3,1,5,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,10,2,15,0,0,0,125
57,2,2,2,6,0,0,0,0,0,0,0,0,14,0,14,1,0,0,0,1,5,2,5,0,3,1,112
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,2,5,0,8,0,17
59,1,1,0,0,0,0,0,3,0,1,3,0,0,0,2,2,1,0,0,0,20,30,15,0,30,5,156
60,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,15,3,0,15,0,95
61,2,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,2,1,0,4,1,51
62,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10,0,0,0,0,0,0,15,20,0,15,2,142
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,30,10,0,0,5,0,97
64,5,1,4,5,0,0,0,0,0,0,0,2,0,0,5,2,0,0,1,0,10,8,0,0,9,0,84
65,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,4,0,1,3,0,140
66,0,2,0,7,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,3,0,1,1,23
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,5,4,5,0,64
68,1,1,1,4,0,0,0,1,0,1,0,1,0,0,15,1,0,0,0,2,0,13,6,2,0,1,56
69,0,0,0,1,0,0,0,0,0,0,0,6,2,0,24,0,0,0,1,0,1,1,5,5,10,0,2
70,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,2,12,0,0,18,0,0,0,30
71,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,0,0,0,41
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6,12,20,0,6,0,72
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,4,0,3,0,98
74,2,0,3,5,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,3,0,36
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,7,0,120
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,21
77,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,0,1,0,46
78,3,0,7,5,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,8,15,0,6,0,152
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,2,0,0,10,5,0,20,0,8
80,0,0,1,12,0,1,0,0,0,6,0,0,0,0,25,10,0,0,2,0,0,10,11,1,15,0,4
81,2,0,4,2,0,0,0,4,0,0,1,0,0,0,7,1,0,0,0,0,0,3,2,2,3,5,35
82,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,1,0,0,8,0,79
83,0,0,0,0,0,0,0,0,0,3,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,92
84,0,0,0,2,0,0,0,2,0,3,0,2,0,0,6,4,0,0,0,0,9,12,6,0,10,0,28
